site_liste,long,lat
bagou,1.840616667,14.69206667
bare_bangou,2.270466667,14.74933333
ganganora,1.78115,14.45571667
kano_kouara,2.050133333,14.43196667
mangaize,1.950933333,14.68318333
sassaga_kouara_kaira,1.97555,14.92331667
barkewa,2.058466667,13.07378333
boulaba,1.8483,12.82136667
ouro_sory_rimaibe,1.977833333,13.07635
sakirey,1.856283333,12.83713333
seno_mango,0,0
tchelol_djegou,2.090833333,13.09785
dokimana,2.3278,13.027
gandatche_kourtey_do,0,0
garin_gouzaye,2.119233333,13.06203333
goulla_yeno,2.364666667,12.97716667
karadje,2.359383333,13.02028333
karidje_balleydo,2.34685,13.14951667
kato_kouara,2.332816667,13.0208
louga_banda,2.314616667,13.00938333
banga_dondi,2.392266667,12.85036667
baoule_sidikou,0,0
chenel,0,0
combite_kouara,2.318583333,12.77083333
djangore,2.260566667,12.9545
fata_bogga_i,2.3373,12.84381667
fata_bogga_ii,2.322683333,12.84363333
fata_namari,2.343683333,12.80758333
guieme,2.47075,12.76743333
kodjelele_ouri_fulbe,2.316833333,12.9931
kotaki_i,2.044533333,12.94596667
sekou_koira,2.474,12.7591
soudimo,2.297766667,12.72165
tchelawindeeda,1.997383333,12.98993333
windi_bogga,2.0397,12.93643333
fete_koukoutou,0.777733333,13.91743333
amzak_koira,0,0
dabirsi,0.507466667,14.5557
gomni_gori,0.4119,14.81491667
wissi_wissi_sonrai,0.502833333,14.62243333
alfa_koira,0.990983333,13.95308333
diba,0.906033333,14.21098333
farey_banguia,0.880333333,14.2071
gadogo,0.68625,14.40128333
gandey_bera_,0.867566667,14.38213333
gaya,0.750333333,14.3451
gorou_tchira,0.928683333,14.07818333
margou_tondikoira,0.802833333,14.23823333
moto_banguia,0.781716667,14.28368333
saadou_gala,0,0
salmoussou,0.897283333,14.0612
sedey,0.74435,14.33605
tida_nanga_i,1.045966667,14.21036667
